glass_name,glass_price,glass_link,photos_link
Milne,$29.95,https://www.glassesshop.com/eyeglasses/fz1358,"['https://res.glassesshop.com/products/201907/5d1dad7e8b665.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201907/5d1dad7e8b665.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201907/5d1dad7e89f35.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201907/5d1dad7e8a7a1.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201907/5d1dad7e8af03.jpg?im=Resize,width=1000,height=500']"
Prince,$19.95,https://www.glassesshop.com/eyeglasses/fp1438,"['https://res.glassesshop.com/products/202005/5eb91ab52f793.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202005/5eb91ab52f793.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202005/5eb91ab6877b6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202005/5eb91ab954dfb.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202005/5eb91ab7eb996.jpg?im=Resize,width=1000,height=500']"
Butler,$19.95,https://www.glassesshop.com/eyeglasses/fp1841,"['https://res.glassesshop.com/products/201904/5cb69b512d7b0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201904/5cb69b512d7b0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201904/5cb69b512ac04.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201904/5cb69b512b6bb.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201904/5cb69b512c7ce.jpg?im=Resize,width=1000,height=500']"
Joplin,$26.95,https://www.glassesshop.com/eyeglasses/fz1491,"['https://res.glassesshop.com/products/202008/5f30c11add35e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202008/5f30c11add35e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202008/5f30c11c43504.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202008/5f30c11d9edd8.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202008/5f30c11f10ae7.jpg?im=Resize,width=1000,height=500']"
Asheville,$12.95,https://www.glassesshop.com/eyeglasses/fp1991,"['https://res.glassesshop.com/products/202106/60bdd7c30d594.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd7c30d594.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd7c92d722.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd7caa0125.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd7cc15f2b.jpg?im=Resize,width=1000,height=500']"
Celia,$19.95,https://www.glassesshop.com/eyeglasses/fm1387,"['https://res.glassesshop.com/products/201906/5d031896311f6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d031896311f6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d0318962f30e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d03189630134.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5d03189630913.jpg?im=Resize,width=1000,height=500']"
Hannah,$26.95,https://www.glassesshop.com/eyeglasses/fp2514,"['https://res.glassesshop.com/products/202112/61adbf7e62f41.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2514/fp2514-cover.jpg', 'https://res.glassesshop.com/products/202112/61adbf7e62f41.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202112/61adbf7fcb914.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202112/61adbf8108a96.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202112/61adbf823c2c2.jpg?im=Resize,width=1000,height=500', 'https://d22qih3asjv3x0.cloudfront.net/products/media/fp2514/fp2514-cover.jpg']"
Burke,$26.95,https://www.glassesshop.com/eyeglasses/fm1243,"['https://res.glassesshop.com/products/202109/61554e6c465a3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/61554e6c465a3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/61554e6d92bd8.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/61554e6ebbc80.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/61554e700f6d1.jpg?im=Resize,width=1000,height=500']"
Bruno,$19.95,https://www.glassesshop.com/eyeglasses/fp1506,"['https://res.glassesshop.com/products/201811/5bff5bf26798e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201811/5bff5bf26798e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201811/5bff5bf2665ef.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201811/5bff5bf266c65.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201811/5bff5bf26731f.jpg?im=Resize,width=1000,height=500']"
Flushing,$12.95,https://www.glassesshop.com/eyeglasses/fp1972,"['https://res.glassesshop.com/products/202106/60bdd9c8ae6b0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd9c8ae6b0.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd9ca0224f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd9cc274bc.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202106/60bdd9cd8d128.jpg?im=Resize,width=1000,height=500']"
